use_case_id,department,use_case_name,ai_type,risk_rating,compliance_impact,estimated_value_sar,implementation_complexity,human_oversight_required,current_status
UC-001,Credit Risk,Credit Risk AI use case 1,Traditional ML,High,Low,715000,Medium,Yes,Evaluation
UC-002,Compliance,Compliance AI use case 2,Decisioning,Medium,Low,930000,High,Yes,Pilot
UC-003,Operations,Operations AI use case 3,Computer Vision,Low,Low,1145000,Low,Yes,Production
UC-004,Wealth Management,Wealth Management AI use case 4,GenAI,High,Low,1360000,Medium,No,Idea
UC-005,Treasury,Treasury AI use case 5,Traditional ML,Medium,Low,1575000,High,Yes,Evaluation
UC-006,Internal Audit,Internal Audit AI use case 6,Decisioning,Low,Low,1790000,Low,Yes,Pilot
UC-007,Legal,Legal AI use case 7,Computer Vision,High,Low,2005000,Medium,Yes,Production
UC-008,Marketing,Marketing AI use case 8,GenAI,Medium,Low,2220000,High,No,Idea
UC-009,IT,IT AI use case 9,Traditional ML,Low,Low,2435000,Low,Yes,Evaluation
UC-010,Customer Service,Customer Service AI use case 10,Decisioning,High,Low,2650000,Medium,Yes,Pilot
UC-011,Credit Risk,Credit Risk AI use case 11,Computer Vision,Medium,Low,2865000,High,Yes,Production
UC-012,Compliance,Compliance AI use case 12,GenAI,Low,Low,3080000,Low,No,Idea
UC-013,Operations,Operations AI use case 13,Traditional ML,High,Low,3295000,Medium,Yes,Evaluation
UC-014,Wealth Management,Wealth Management AI use case 14,Decisioning,Medium,Low,3510000,High,Yes,Pilot
UC-015,Treasury,Treasury AI use case 15,Computer Vision,Low,Low,3725000,Low,Yes,Production
UC-016,Internal Audit,Internal Audit AI use case 16,GenAI,High,Low,3940000,Medium,No,Idea
UC-017,Legal,Legal AI use case 17,Traditional ML,Medium,Low,4155000,High,Yes,Evaluation
UC-018,Marketing,Marketing AI use case 18,Decisioning,Low,Low,4370000,Low,Conditional,Pilot
UC-019,IT,IT AI use case 19,Computer Vision,High,Low,4585000,Medium,Yes,Production
UC-020,Customer Service,Customer Service AI use case 20,GenAI,Medium,Low,4800000,High,No,Idea
