opportunity_id,department,workflow,ai_technique,value_score,feasibility_score,risk_score,data_available,current_pain_point,estimated_annual_saving_sar
OPP-001,Retail Banking,Loan Pre-Screening for Retail Banking,Prediction,3,4,4,Partial,high false-positive review burden,242000
OPP-002,Operations,Payment Exception Handling for Operations,Anomaly detection,4,2,2,No,analyst drafting time is too high,304000
OPP-003,Risk,Alert Review for Risk,Generative AI,5,4,5,Yes,workflow exceptions require repeated manual handling,366000
OPP-004,Compliance,Narrative Drafting for Compliance,NLP extraction,2,2,3,Partial,backlog is growing faster than staffing,428000
OPP-005,Corporate Banking,Document Extraction for Corporate Banking,Computer vision,3,4,1,No,quality review lacks consistency,490000
OPP-006,HR,Chat Summarisation for HR,NLP classification,4,2,4,Yes,manual triage delays customer response,552000
OPP-007,Treasury,Covenant Monitoring for Treasury,Prediction,5,4,2,Unknown,high false-positive review burden,614000
OPP-008,Finance,Claims Intake for Finance,Anomaly detection,2,2,5,No,analyst drafting time is too high,676000
OPP-009,Legal,Policy Search for Legal,Generative AI,3,4,3,Yes,workflow exceptions require repeated manual handling,738000
OPP-010,Customer Experience,Case Routing for Customer Experience,NLP extraction,4,2,1,Partial,backlog is growing faster than staffing,800000
OPP-011,Retail Banking,Loan Pre-Screening for Retail Banking,Computer vision,5,4,4,No,quality review lacks consistency,862000
OPP-012,Operations,Payment Exception Handling for Operations,NLP classification,2,2,2,Yes,manual triage delays customer response,924000
OPP-013,Risk,Alert Review for Risk,Prediction,3,4,5,Partial,high false-positive review burden,986000
OPP-014,Compliance,Narrative Drafting for Compliance,Anomaly detection,4,2,3,No,analyst drafting time is too high,1048000
OPP-015,Corporate Banking,Document Extraction for Corporate Banking,Generative AI,5,4,1,Yes,workflow exceptions require repeated manual handling,1110000
OPP-016,HR,Chat Summarisation for HR,NLP extraction,2,2,4,Partial,backlog is growing faster than staffing,1172000
OPP-017,Treasury,Covenant Monitoring for Treasury,Computer vision,3,4,2,No,quality review lacks consistency,1234000
OPP-018,Finance,Claims Intake for Finance,NLP classification,4,2,5,Yes,manual triage delays customer response,1296000
OPP-019,Legal,Policy Search for Legal,Prediction,5,4,3,Partial,high false-positive review burden,1358000
OPP-020,Customer Experience,Case Routing for Customer Experience,Anomaly detection,2,2,1,No,analyst drafting time is too high,1420000
OPP-021,Retail Banking,Loan Pre-Screening for Retail Banking,Generative AI,3,4,4,Yes,workflow exceptions require repeated manual handling,1482000
OPP-022,Operations,Payment Exception Handling for Operations,NLP extraction,4,2,2,Partial,backlog is growing faster than staffing,1544000
OPP-023,Risk,Alert Review for Risk,Computer vision,5,4,5,No,quality review lacks consistency,1606000
OPP-024,Compliance,Narrative Drafting for Compliance,NLP classification,2,2,3,Yes,manual triage delays customer response,1668000
OPP-025,Corporate Banking,Document Extraction for Corporate Banking,Prediction,3,4,1,Partial,high false-positive review burden,1730000
OPP-026,HR,Chat Summarisation for HR,Anomaly detection,4,2,4,No,analyst drafting time is too high,1792000
OPP-027,Treasury,Covenant Monitoring for Treasury,Generative AI,5,4,2,Yes,workflow exceptions require repeated manual handling,1854000
OPP-028,Finance,Claims Intake for Finance,NLP extraction,2,2,5,Partial,backlog is growing faster than staffing,1916000
OPP-029,Legal,Policy Search for Legal,Computer vision,3,4,,No,quality review lacks consistency,1978000
OPP-030,Customer Experience,Case Routing for Customer Experience,NLP classification,4,2,1,Yes,manual triage delays customer response,2040000
OPP-031,Retail Banking,Loan Pre-Screening for Retail Banking,Prediction,5,4,4,Partial,high false-positive review burden,2102000
OPP-032,Operations,Payment Exception Handling for Operations,Anomaly detection,2,2,2,No,analyst drafting time is too high,2164000
OPP-033,Risk,Alert Review for Risk,Generative AI,3,4,5,Yes,workflow exceptions require repeated manual handling,2226000
OPP-034,Compliance,Narrative Drafting for Compliance,NLP extraction,4,2,3,Partial,backlog is growing faster than staffing,2288000
OPP-035,Corporate Banking,Document Extraction for Corporate Banking,Computer vision,5,4,1,No,quality review lacks consistency,2350000
OPP-036,HR,Chat Summarisation for HR,NLP classification,2,2,4,Yes,manual triage delays customer response,2412000
OPP-037,Treasury,Covenant Monitoring for Treasury,Prediction,3,4,2,Partial,high false-positive review burden,2474000
OPP-038,Finance,Claims Intake for Finance,Anomaly detection,4,2,5,No,analyst drafting time is too high,2536000
OPP-039,Legal,Policy Search for Legal,Generative AI,5,4,3,Yes,workflow exceptions require repeated manual handling,2598000
OPP-040,Customer Experience,Case Routing for Customer Experience,NLP extraction,2,2,1,Partial,backlog is growing faster than staffing,2660000
OPP-041,Retail Banking,Loan Pre-Screening for Retail Banking,Computer vision,3,4,4,No,quality review lacks consistency,2722000
OPP-042,Operations,Payment Exception Handling for Operations,NLP classification,4,2,2,Yes,manual triage delays customer response,2784000
OPP-043,Risk,Alert Review for Risk,Prediction,5,4,5,Partial,high false-positive review burden,2846000
OPP-044,Compliance,Narrative Drafting for Compliance,Anomaly detection,2,2,3,No,analyst drafting time is too high,2908000
OPP-045,Corporate Banking,Document Extraction for Corporate Banking,Generative AI,3,4,1,Yes,workflow exceptions require repeated manual handling,2970000
OPP-046,HR,Chat Summarisation for HR,NLP extraction,4,2,4,Partial,backlog is growing faster than staffing,3032000
OPP-047,Treasury,Covenant Monitoring for Treasury,Computer vision,5,4,2,No,quality review lacks consistency,3094000
OPP-048,Finance,Claims Intake for Finance,NLP classification,2,2,5,Yes,manual triage delays customer response,3156000
OPP-049,Legal,Policy Search for Legal,Prediction,3,4,3,Partial,high false-positive review burden,3218000
OPP-050,Customer Experience,Case Routing for Customer Experience,Anomaly detection,4,2,1,No,analyst drafting time is too high,3280000
OPP-051,Retail Banking,Loan Pre-Screening for Retail Banking,Generative AI,5,4,4,Yes,workflow exceptions require repeated manual handling,3342000
OPP-052,Operations,Payment Exception Handling for Operations,NLP extraction,2,2,2,Partial,backlog is growing faster than staffing,3404000
OPP-053,Risk,Alert Review for Risk,Computer vision,3,4,5,No,quality review lacks consistency,3466000
OPP-054,Compliance,Narrative Drafting for Compliance,NLP classification,4,2,3,Yes,manual triage delays customer response,3528000
OPP-055,Corporate Banking,Document Extraction for Corporate Banking,Prediction,5,4,1,Partial,high false-positive review burden,3590000
OPP-056,HR,Chat Summarisation for HR,Anomaly detection,2,2,4,No,analyst drafting time is too high,3652000
OPP-057,Treasury,Covenant Monitoring for Treasury,Generative AI,3,4,2,Yes,workflow exceptions require repeated manual handling,3714000
OPP-058,Finance,Claims Intake for Finance,NLP extraction,4,2,5,Partial,backlog is growing faster than staffing,3776000
OPP-059,Legal,Policy Search for Legal,Computer vision,5,4,3,No,quality review lacks consistency,3838000
OPP-060,Customer Experience,Case Routing for Customer Experience,NLP classification,2,2,1,Yes,manual triage delays customer response,3900000
