workflow_id,department,process_name,steps_count,manual_hours_weekly,error_rate_pct,automation_potential,complexity,owner_role
W001,Retail Banking,Customer onboarding document processing 1,5,11,1.8,Medium,High,Branch Operations Lead
W002,Finance,Daily transaction reporting 2,6,14,2.5,Low,Medium,Finance Analyst
W003,Compliance,Internal transfer processing 3,7,17,3.2,High,Low,Compliance Officer
W004,IT,Credit card dispute intake 4,8,20,3.9,Medium,High,IT Service Desk Lead
W005,Risk,KYC document review 5,9,23,4.6,Low,Medium,Risk Analyst
W006,Treasury,Access rights provisioning 6,10,26,5.3,High,Low,Operations Manager
W007,HR,Regulatory return preparation 7,11,29,6.0,Medium,High,Branch Operations Lead
W008,Operations,Incident ticket triage 8,12,32,6.7,Low,Medium,Finance Analyst
W009,Retail Banking,Cheque clearing verification 9,13,35,7.4,High,Low,Compliance Officer
W010,Finance,Payment reconciliation 10,14,38,8.1,Medium,High,IT Service Desk Lead
W011,Compliance,Customer onboarding document processing 11,4,41,8.8,Low,Medium,Risk Analyst
W012,IT,Daily transaction reporting 12,5,44,1.5,High,Low,Operations Manager
W013,Risk,Internal transfer processing 13,6,47,2.2,Medium,High,Branch Operations Lead
W014,Treasury,Credit card dispute intake 14,7,50,2.9,Low,Medium,Finance Analyst
W015,HR,KYC document review 15,8,53,3.6,Very High,Low,Compliance Officer
W016,Operations,Access rights provisioning 16,9,10,4.3,Medium,High,IT Service Desk Lead
W017,Retail Banking,Regulatory return preparation 17,10,13,5.0,Low,Medium,Risk Analyst
W018,Finance,Incident ticket triage 18,11,16,5.7,High,Low,Operations Manager
W019,Compliance,Cheque clearing verification 19,12,19,6.4,Medium,High,Branch Operations Lead
W020,IT,Payment reconciliation 20,13,22,7.1,Low,Medium,Finance Analyst
W021,Risk,Customer onboarding document processing 21,14,25,7.8,High,Low,Compliance Officer
W022,Treasury,Daily transaction reporting 22,4,28,8.5,Medium,High,IT Service Desk Lead
W023,HR,Internal transfer processing 23,5,31,1.2,Low,Medium,Risk Analyst
W024,Operations,Credit card dispute intake 24,6,34,1.9,High,Low,Operations Manager
W025,Retail Banking,KYC document review 25,7,37,2.6,Medium,High,Branch Operations Lead
W026,Finance,Access rights provisioning 26,8,40,3.3,Low,Medium,Finance Analyst
W027,Compliance,Regulatory return preparation 27,9,43,4.0,High,Low,Compliance Officer
W028,IT,Incident ticket triage 28,10,46,4.7,Medium,High,IT Service Desk Lead
W029,Risk,Cheque clearing verification 29,11,49,5.4,Low,Medium,Risk Analyst
W030,Treasury,Payment reconciliation 30,12,52,6.1,High,Low,Operations Manager
W031,HR,Customer onboarding document processing 31,13,9,6.8,Medium,High,Branch Operations Lead
W032,Operations,Daily transaction reporting 32,14,12,,Low,Medium,Finance Analyst
W033,Retail Banking,Internal transfer processing 33,4,15,8.2,High,Low,Compliance Officer
W034,Finance,Credit card dispute intake 34,5,18,8.9,Medium,High,IT Service Desk Lead
W035,Compliance,KYC document review 35,6,21,1.6,Low,Medium,Risk Analyst
W036,IT,Access rights provisioning 36,7,24,2.3,High,Low,Operations Manager
W037,Risk,Regulatory return preparation 37,8,27,3.0,Medium,High,Branch Operations Lead
W038,Treasury,Incident ticket triage 38,9,30,3.7,Low,Medium,Finance Analyst
W039,HR,Cheque clearing verification 39,10,33,4.4,High,Low,Compliance Officer
W040,Operations,Payment reconciliation 40,11,36,5.1,Medium,High,IT Service Desk Lead
W041,Retail Banking,Customer onboarding document processing 41,12,39,5.8,Low,Medium,Risk Analyst
W042,Finance,Daily transaction reporting 42,13,42,6.5,High,Low,Operations Manager
W043,Compliance,Internal transfer processing 43,14,45,7.2,Medium,High,Branch Operations Lead
W044,IT,Credit card dispute intake 44,4,48,7.9,Low,Medium,Finance Analyst
W045,Risk,KYC document review 45,5,51,8.6,High,Low,Compliance Officer
W046,Treasury,Access rights provisioning 46,6,8,1.3,Medium,High,IT Service Desk Lead
W047,HR,Regulatory return preparation 47,7,11,2.0,Low,Medium,Risk Analyst
W048,Operations,Incident ticket triage 48,8,14,2.7,High,Low,Operations Manager
W049,Retail Banking,Cheque clearing verification 49,9,17,3.4,Medium,High,Branch Operations Lead
W050,Finance,Payment reconciliation 50,10,20,4.1,Low,Medium,Finance Analyst
W051,Compliance,Customer onboarding document processing 51,11,23,4.8,High,Low,Compliance Officer
W052,IT,Daily transaction reporting 52,12,26,5.5,Medium,High,IT Service Desk Lead
W053,Risk,Internal transfer processing 53,13,29,6.2,Low,Medium,Risk Analyst
W054,Treasury,Credit card dispute intake 54,14,32,6.9,High,Low,Operations Manager
W055,HR,KYC document review 55,4,35,7.6,Medium,High,Branch Operations Lead
W056,Operations,Access rights provisioning 56,5,38,8.3,Low,Medium,Finance Analyst
W057,Retail Banking,Regulatory return preparation 57,6,41,9.0,High,Low,Compliance Officer
W058,Finance,Incident ticket triage 58,7,44,1.7,Medium,High,IT Service Desk Lead
W059,Compliance,Cheque clearing verification 59,8,47,2.4,Low,Medium,Risk Analyst
W060,IT,Payment reconciliation 60,9,50,3.1,High,Low,Operations Manager
