control_id,category,requirement,applies_to,priority,owner_role
GOV-001,Accountability,A named business owner is assigned for all AI outputs and decisions,All AI deployments,Critical,Business Unit Head
GOV-002,Accountability,An escalation path exists for AI output disputes or errors,All AI deployments,Critical,Operations Manager
GOV-003,Transparency,AI outputs can be explained in plain language to affected parties,Customer-facing and credit decisioning,Critical,Model Owner
GOV-004,Transparency,An audit trail exists for all AI-influenced decisions,All AI deployments,Critical,Internal Audit Lead
GOV-005,Fairness,Bias testing has been conducted across protected characteristics,Credit decisioning and customer-facing,Critical,Model Validation Lead
GOV-006,Fairness,No proxy variables for protected characteristics are used in the model,Credit decisioning and customer-facing,High,Data Science Lead
GOV-007,Data governance,Training data has been reviewed for quality and representativeness,All AI deployments,High,Data Quality Lead
GOV-008,Data governance,Customer data handling complies with PDPL requirements,Deployments using personal data,Critical,Data Protection Officer
GOV-009,Model risk,Model risk classification has been completed per internal MRM policy,All AI deployments,High,Model Risk Manager
GOV-010,Model risk,A retraining and monitoring schedule is defined,All AI deployments,High,Model Owner
GOV-011,Operational resilience,A fallback procedure exists for when the AI component is unavailable,All AI deployments,High,Operations Manager
GOV-012,Operational resilience,Performance thresholds and alerting are configured,All AI deployments,Medium,Technology Lead
GOV-013,Regulatory,SAMA operational risk expectations are addressed in the deployment plan,Material AI deployments,Critical,Chief Risk Officer
GOV-014,Regulatory,Board or senior management approval has been obtained for material AI use,Material AI deployments,Critical,Chief Risk Officer
GOV-015,Third party,Vendor due diligence has been completed for any third-party AI components,Deployments using external AI services,High,Procurement Lead
