template_id,use_case,prompt_pattern,constraints,expected_output_type,risk_level
PT-001,Banking prompt pattern 1,Extract-Summarise-Flag,Escalate high-risk items,Table with flags,Medium
PT-002,Banking prompt pattern 2,Context-Compare-Recommend,Include confidence rating,Structured analysis,High
PT-003,Banking prompt pattern 3,Classify-Route-Escalate,Use approved category list,Category and routing,Low
PT-004,Banking prompt pattern 4,Template-Fill-Review,Keep under 200 words,Draft document,Medium
PT-005,Banking prompt pattern 5,Verify-Extract-Flag,Cite policy source,Checklist with flags,High
PT-006,Banking prompt pattern 6,Role-Task-Format,No PII in output,Structured text,Low
PT-007,Banking prompt pattern 7,Extract-Summarise-Flag,Escalate high-risk items,Table with flags,Medium
PT-008,Banking prompt pattern 8,Context-Compare-Recommend,Include confidence rating,Structured analysis,High
PT-009,Banking prompt pattern 9,Classify-Route-Escalate,No PII in output; cite source; escalate if confidence below 0.7,Category and routing,Low
PT-010,Banking prompt pattern 10,Template-Fill-Review,Keep under 200 words,Draft document,Medium
PT-011,Banking prompt pattern 11,Verify-Extract-Flag,Cite policy source,Checklist with flags,High
PT-012,Banking prompt pattern 12,Role-Task-Format,No PII in output,Structured text,Low
PT-013,Banking prompt pattern 13,Extract-Summarise-Flag,Escalate high-risk items,Table with flags,Medium
PT-014,Banking prompt pattern 14,Context-Compare-Recommend,Include confidence rating,Structured analysis,High
PT-015,Banking prompt pattern 15,Classify-Route-Escalate,Use approved category list,Category and routing,Low
PT-016,Banking prompt pattern 16,Template-Fill-Review,Keep under 200 words,Draft document,Medium
PT-017,Banking prompt pattern 17,Verify-Extract-Flag,Cite policy source,Checklist with flags,High
PT-018,Banking prompt pattern 18,Role-Task-Format,No PII in output,Structured text,Low
PT-019,Banking prompt pattern 19,Extract-Summarise-Flag,Escalate high-risk items,Table with flags,Medium
PT-020,Banking prompt pattern 20,Context-Compare-Recommend,Include confidence rating,Structured analysis,High
PT-021,Banking prompt pattern 21,Classify-Route-Escalate,Use approved category list,Category and routing,Low
PT-022,Banking prompt pattern 22,Template-Fill-Review,Keep under 200 words,Draft document,Medium
PT-023,Banking prompt pattern 23,Verify-Extract-Flag,Cite policy source,Checklist with flags,High
PT-024,Banking prompt pattern 24,Role-Task-Format,No PII in output,Structured text,Low
PT-025,Banking prompt pattern 25,Extract-Summarise-Flag,Escalate high-risk items,Table with flags,Medium
PT-026,Banking prompt pattern 26,Context-Compare-Recommend,Include confidence rating,Structured analysis,High
PT-027,Banking prompt pattern 27,Classify-Route-Escalate,Use approved category list,Category and routing,Low
PT-028,Banking prompt pattern 28,Template-Fill-Review,Keep under 200 words,Draft document,Medium
PT-029,Banking prompt pattern 29,Verify-Extract-Flag,Cite policy source,Checklist with flags,High
PT-030,Banking prompt pattern 30,Role-Task-Format,No PII in output,Structured text,Low
PT-031,Banking prompt pattern 31,Extract-Summarise-Flag,Escalate high-risk items,Table with flags,Medium
PT-032,Banking prompt pattern 32,Context-Compare-Recommend,Include confidence rating,Structured analysis,High
PT-033,Banking prompt pattern 33,Classify-Route-Escalate,Use approved category list,Category and routing,Low
PT-034,Banking prompt pattern 34,Template-Fill-Review,Keep under 200 words,Draft document,Medium
PT-035,Banking prompt pattern 35,Verify-Extract-Flag,Cite policy source,Checklist with flags,High
PT-036,Banking prompt pattern 36,Role-Task-Format,No PII in output,Structured text,Low
